BBLCOUNT        1.0         0
0x7efff7f4b5f3 1 2 10
0x7efff7f4b5fd 1 4 21
0x7efff7f4b612 1 2 8
0x7efff7f4b61a 0 3 12
0x7efff7f49aa7 1 4 23
0x7efff7f49abe 1 1 5
0x7efff7f46b4a 1 6 31
0x7efff7f46b69 1 4 18
0x7efff7f46b7b 1 7 36
0x7efff7f46b9f 0 5 31
0x7efff7f46bbe 1 4 14
0x7efff7f46bcc 1 2 10
0x7efff7f46bd6 0 6 20
0x7efff7f46be4 3 2 6
0x7efff7f46bc7 4 2 5
0x7efff7f46bcc 3 2 10
0x7efff7f46bd6 1 6 20
0x7efff7f46bea 1 3 7
0x7efff7f46bf1 0 5 31
0x7efff7f46c10 1 1 5
0x7efff7f46c15 1 1 5
0x7efff7f46c1a 1 3 8
0x7efff7f46c22 0 4 19
0x7efff7f46c41 1 7 30
0x7efff7f46c5f 1 2 4
0x7efff7f46c63 0 5 26
0x7efff7f49564 0 1 5
0x7efff7f49930 1 3 9
0x7efff7f49939 1 6 33
0x7efff7f4995a 1 3 7
0x7efff7f49961 1 3 10
0x7efff7f4996b 0 4 9
0x7efff7f49974 0 2 12
0x7efff7f499de 1 6 29
0x7efff7f499fb 1 4 9
0x7efff7f49a04 0 6 27
0x7efff7f49a08 1 5 23
0x7efff7f49a1f 1 2 5
0x7efff7f49a24 0 2 5
0x7efff7f49a37 1 2 9
0x7efff7f49a40 1 5 27
0x7efff7f49a5b 0 2 10
0x7efff7f4a6ec 1 2 12
0x7efff7f49a77 1 11 48
0x7efff7f47960 1 6 24
0x7efff7f47978 1 2 4
0x7efff7f4797c 0 3 6
0x7efff7f47982 0 2 2
0x7efff7f47982 1 2 2
0x7efff7f49f5b 2 2 10
0x7efff7f49f65 1 2 9
0x7efff7f49f6e 0 3 10
0x7efff7f49fac 1 2 8
0x7efff7f49fb4 1 1 2
0x7efff7f49d02 1 2 13
0x7efff7f49d0f 1 2 14
0x7efff7f49d1d 1 4 23
0x7efff7f49d34 1 2 9
0x7efff7f49d3d 0 6 22
0x7efff7f49d5b 1 3 20
0x7efff7f49d6f 1 2 9
0x7efff7f49d78 1 11 44
0x7efff7f49da4 1 8 33
0x7efff7f49dc5 1 3 14
0x7efff7f49dd3 1 3 9
0x7efff7f49ddc 1 3 15
0x7efff7f49deb 1 2 6
0x7efff7f49df1 1 8 15
0x7efff7f4ae7a 1 9 38
0x7efff7f4aea0 1 9 18
0x7efff7f46cc8 1 14 50
0x7efff7f46cfa 1 3 13
0x7efff7f46c89 1 4 12
0x7efff7f49ac3 1 3 17
0x7efff7f49ad4 1 11 68
0x7efff7f49b18 1 3 16
0x7efff7f4a0b9 1 10 69
0x7efff7f4a0fe 0 1 5
0x7efff7f49ed3 1 13 59
0x7efff7f49f72 1 2 6
0x7efff7f49f78 0 9 42
0x7efff7f49fa2 0 1 5
0x7efff7f49f10 3 7 31
0x7efff7f49f2f 2 3 13
0x7efff7f49f3c 2 8 31
0x7efff7f49fb6 1 4 20
0x7efff7f49fca 0 1 2
0x7efff7f49f2f 1 3 13
0x7efff7f49f3c 0 8 31
0x7efff7f49f5b 1 2 10
0x7efff7f49f65 0 2 9
0x7efff7f49f6e 0 3 10
0x7efff7f49f6e 3 3 10
0x7efff7f49f78 1 9 42
0x7efff7f49fa2 0 1 5
0x7efff7f4ca2d 0 4 11
0x7efff7f4ca38 1 4 16
0x7efff7f4ca48 0 4 13
0x7efff7f4cf34 1 4 16
0x7efff7f4cf44 1 5 26
0x7efff7f4ca05 1 4 12
0x7efff7f4ca11 1 2 6
0x7efff7f4ca17 0 4 12
0x7efff7f4c9f8 6 8 25
0x7efff7f4ca11 5 2 6
0x7efff7f4ca17 4 4 12
0x7efff7f4ca55 1 2 5
0x7efff7f4ca5a 1 3 10
0x7efff7f4ca64 1 4 14
0x7efff7f4ca72 1 4 14
0x7efff7f4ca80 1 4 14
0x7efff7f4ca8e 1 4 14
0x7efff7f4ca9c 1 4 17
0x7efff7f4caad 1 4 17
0x7efff7f4cabe 1 4 17
0x7efff7f4cacf 1 4 17
0x7efff7f4cae0 1 2 11
0x7efff7f4c762 1 2 15
0x7efff7f4c771 1 4 13
0x7efff7f4c77e 1 12 47
0x7efff7f4cf6a 1 2 9
0x7efff7f4cf73 1 8 37
0x7efff7f4cf98 1 4 26
0x7efff7f4c7ad 1 2 9
0x7efff7f4c7b6 0 6 28
0x7efff7f4c7d2 0 5 20
0x7efff7f4d140 1 9 37
0x7efff7f4d165 1 3 17
0x7efff7f4d176 0 3 14
0x7efff7f4c98e 1 4 21
0x7efff7f4c9a3 1 5 21
0x7efff7f4c9b8 1 4 17
0x7efff7f4c9c9 1 7 41
0x7efff7f4ca11 1 2 6
0x7efff7f4ca17 0 4 12
0x7efff7f4ca23 0 4 10
0x7efff7f4ca01 18 5 16
0x7efff7f4ca11 18 2 6
0x7efff7f4ca17 3 4 12
0x7efff7f4ca23 1 4 10
0x7efff7f4cc6d 1 6 36
0x7efff7f4cc91 1 2 8
0x7efff7f4cc99 1 2 6
0x7efff7f4cc9f 1 2 11
0x7efff7f4ccaa 0 4 21
0x7efff7f4cd0a 1 2 15
0x7efff7f4cd19 1 5 37
0x7efff7f4cd3e 1 2 14
0x7efff7f4cd4c 1 3 12
0x7efff7f46d20 2 2 5
0x7efff7f46d30 2 2 5
0x7efff7f4cd58 1 4 17
0x7efff7f4cd69 0 8 40
0x7efff7f4cd91 0 5 18
0x7efff7f4c2c2 1 8 15
0x7efff7f4ea57 1 2 9
0x7efff7f4e913 2 8 18
0x7efff7f4ea60 1 2 8
0x7efff7f494fa 1 10 42
0x7efff7f49524 1 8 30
0x7efff7f49542 0 6 34
0x7efff7f4952d 2 6 21
0x7efff7f49542 1 6 34
0x7efff7f4caeb 1 2 8
0x7efff7f4caf3 1 3 19
0x7efff7f4cb06 1 3 13
0x7efff7f4cb13 1 4 16
0x7efff7f4cb2b 1 2 4
0x7efff7f4cb2f 0 3 16
0x7efff7f4cb3f 0 3 17
0x7efff7f4cb37 1 2 8
0x7efff7f4cb3f 1 3 17
0x7efff7f4cb50 0 6 29
0x7efff7f4d228 1 2 13
0x7efff7f4cb76 1 2 11
0x7efff7f4cb81 0 3 17
0x7efff7f4cb92 0 4 10
0x7efff7f4cb8d 1 2 5
0x7efff7f4cb92 0 4 10
0x7efff7f4cb9c 0 4 24
0x7efff7f4cc00 1 3 17
0x7efff7f4cc11 1 7 35
0x7efff7f4cc34 1 3 13
0x7efff7f4cc41 1 4 23
0x7efff7f4cc58 1 2 8
0x7efff7f4cc60 1 2 13
0x7efff7f48023 1 4 24
0x7efff7f47ffc 1 5 39
0x7efff7f47ff8 1 2 4
0x7efff7f47fde 1 6 26
0x7efff7f47fd2 1 3 12
0x7efff7f47fc2 1 3 16
0x7efff7f47fd2 0 3 12
0x7efff7f47fb7 0 4 27
0x7efff7f47fb2 1 2 5
0x7efff7f47fb7 0 4 27
0x7efff7f47fa7 0 3 16
0x7efff7f47fa2 1 2 5
0x7efff7f47fa7 0 3 16
0x7efff7f47f98 0 4 15
0x7efff7f47f7e 1 5 26
0x7efff7f4e325 1 3 17
0x7efff7f4e336 1 3 16
0x7efff7f4e346 1 13 61
0x7efff7f4876f 1 5 27
0x7efff7f4878a 1 3 14
0x7efff7f47f12 1 2 5
0x7efff7f47f06 2 2 12
0x7efff7f47efa 3 2 12
0x7efff7f486ea 1 2 11
0x7efff7f486f5 1 7 43
0x7efff7f48720 1 2 8
0x7efff7f48728 1 3 14
0x7efff7f48736 1 3 17
0x7efff7f492ec 1 2 12
0x7efff7f4e2f0 1 14 53
0x7efff7f48970 1 4 16
0x7efff7f48960 1 4 16
0x7efff7f48930 0 4 16
0x7efff7f48924 1 4 12
0x7efff7f480e2 0 3 8
0x7efff7f480cd 0 7 21
0x7efff7f480bf 1 4 14
0x7efff7f480b3 2 4 12
0x7efff7f480ad 19 2 6
0x7efff7f4809d 19 5 16
0x7efff7f480bf 0 4 14
0x7efff7f480b3 0 4 12
0x7efff7f480ad 1 2 6
0x7efff7f48061 1 8 51
0x7efff7f48051 1 4 16
0x7efff7f48044 1 3 13
0x7efff7f4803b 1 2 9
0x7efff7f4e52b 0 3 13
0x7efff7f4e610 1 9 26
0x7efff7f492f8 1 3 14
0x7efff7f49306 1 4 20
0x7efff7f48885 0 6 21
0x7efff7f4887c 0 3 9
0x7efff7f4884a 1 9 50
0x7efff7f47ed7 3 2 9
0x7efff7f47ece 4 2 9
0x7efff7f47ec5 5 2 9
0x7efff7f47ef8 8 1 2
0x7efff7f47eed 8 3 11
0x7efff7f47ee0 9 3 13
0x7efff7f48798 1 4 15
0x7efff7f47efa 0 2 12
0x7efff7f47ef8 0 1 2
0x7efff7f47eed 1 3 11
0x7efff7f47eb3 1 5 18
0x7efff7f47e64 1 13 79
0x7efff7f47e54 1 3 16
0x7efff7f46d30 2 2 5
0x7efff7f46d20 2 2 5
0x7efff7f47e27 1 8 45
0x7efff7f47e1b 1 3 12
0x7efff7f4e383 1 3 12
0x7efff7f4e38f 1 20 112
0x7efff7f4e3ff 1 5 18
0x7efff7f488c8 1 4 16
0x7efff7f48831 0 2 13
0x7efff7f48820 1 3 17
0x7efff7f48810 1 4 16
0x7efff7f4883e 1 2 12
0x7efff7f48831 1 2 13
0x7efff7f4e411 4 4 16
0x7efff7f4e421 3 17 74
0x7efff7f4e46b 3 5 18
0x7efff7f4e3ff 3 5 18
0x7efff7f4e490 1 7 42
0x7efff7f4e4ba 1 4 19
0x7efff7f4e4cd 1 3 16
0x7efff7f4e630 1 4 23
0x7efff7f4e647 0 7 34
0x7efff7f4e680 1 2 16
0x7efff7f4e515 1 2 9
0x7efff7f48820 1 3 17
0x7efff7f48809 1 5 23
0x7efff7f487f0 2 7 25
0x7efff7f4e51e 0 3 13
0x7efff7f48377 0 4 12
0x7efff7f48358 3 8 25
0x7efff7f48371 2 2 6
0x7efff7f48377 2 4 12
0x7efff7f487b1 1 4 18
0x7efff7f487a7 1 3 10
0x7efff7f482a2 2 4 13
0x7efff7f48299 2 2 9
0x7efff7f48290 3 2 9
0x7efff7f482dd 0 10 54
0x7efff7f482b7 0 9 38
0x7efff7f482af 3 3 8
0x7efff7f4828b 0 1 2
0x7efff7f4825d 1 10 46
0x7efff7f48251 1 3 12
0x7efff7f48235 1 7 28
0x7efff7f48227 1 2 14
0x7efff7f4821a 1 2 13
0x7efff7f48212 1 2 8
0x7efff7f48207 0 3 19
0x7efff7f481fd 1 2 10
0x7efff7f481ea 0 2 5
0x7efff7f481d1 0 5 25
0x7efff7f481c5 1 3 12
0x7efff7f482a2 1 4 13
0x7efff7f487e3 1 2 13
0x7efff7f482af 1 3 8
0x7efff7f487d5 1 2 14
0x7efff7f487c3 1 3 18
0x7efff7f482b7 1 9 38
0x7efff7f482dd 1 10 54
0x7efff7f48313 1 4 17
0x7efff7f48324 1 8 52
0x7efff7f48371 1 2 6
0x7efff7f48377 0 4 12
0x7efff7f48383 0 4 14
0x7efff7f48361 7 5 16
0x7efff7f48371 7 2 6
0x7efff7f48377 2 4 12
0x7efff7f48383 1 4 14
0x7efff7f48391 0 7 21
0x7efff7f483a6 0 2 9
0x7efff7f48908 1 4 12
0x7efff7f48914 0 4 16
0x7efff7f48940 1 4 16
0x7efff7f48950 1 4 16
0x7efff7f48365 1 4 12
0x7efff7f48371 1 2 6
0x7efff7f4851b 1 3 13
0x7efff7f48528 1 12 51
0x7efff7f4855b 1 10 45
0x7efff7f48593 1 2 8
0x7efff7f4859b 0 3 19
0x7efff7f485ae 0 3 13
0x7efff7f485ae 1 3 13
0x7efff7f485bb 0 4 17
0x7efff7f485cc 0 3 13
0x7efff7f485ee 1 3 13
0x7efff7f485fb 0 5 27
0x7efff7f48616 0 2 5
0x7efff7f4862b 1 2 11
0x7efff7f48636 0 3 20
0x7efff7f48642 1 2 8
0x7efff7f4864a 1 9 57
0x7efff7f48683 1 5 21
0x7efff7f48698 1 3 12
0x7efff7f486a4 1 2 9
0x7efff7f486ad 1 5 19
